연번,이름 (Name),생년월일 (Date of Birth),성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),고객 세그먼트 (Customer Segment),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path)
245,최상철,1983-04-17,남,055-078-4271,gimeunjeong@dreamwiz.com,서울특별시 종로구 청운동 67-89,bagdoyun,2025-01-02,일반,준대형 세단,G70 (IK),2024-09-25,"36,850,000",신용카드,3,온라인
246,최중수,1986-12-26,여,041-417-0559,yi@yuhanhoesa.com,경기도 성남시 분당구 정자동 56-78,hyeonjun76,2024-10-02,신규,준대형 세단,Avante (CN7 N),2024-06-19,"59,410,000",신용카드,1,오프라인
247,임진우,1969-01-06,남,063-090-5344,hwangjeongho@ju.com,전라북도 전주시 완산구 덕진동 33-7,obag,2022-08-07,일반,중형 suv,G70 (IK),2025-02-08,"46,640,000",현금,1,오프라인
248,나선영,1975-07-01,여,033-680-3642,jiyeongim@jogim.com,충청북도 청주시 상당구 낙실동 9-1,songseoyun,2023-04-28,이탈가능,준중형 세단,Santa-Fe ™,2023-12-07,"78,930,000",현금,1,온라인
249,이정식,1959-05-12,여,052-926-0479,jiyeong90@hagim.com,경상남도 창원시 의창구 봉곡동 48-6,gimjeongsig,2023-04-09,이탈가능,소형 해치백,G80 (RG3),2024-12-15,"63,210,000",신용카드,3,오프라인
250,김정숙,1972-04-08,남,061-830-4047,jimingim@yuhanhoesa.net,서울특별시 강남구 역삼동 123-45,fgim,2022-04-30,vip,중형 suv,G80 (RG3),2024-11-24,"86,560,000",계좌이체,2,오프라인
251,송수빈,1959-08-02,여,018-230-7846,caeweon00@yu.kr,경기도 수원시 영통구 원천동 12-34,sangceolgim,2024-09-04,vip,소형 해치백,Avante (CN7 N),2024-07-24,"71,030,000",신용카드,2,온라인
252,강승현,1986-05-25,남,055-686-9236,yujinjang@yungang.com,부산광역시 해운대구 우동 101-12,gimhyeonsug,2022-03-24,이탈가능,중형 suv,G70 (IK),2025-02-16,"46,720,000",신용카드,4,온라인
253,황준혁,1964-04-14,여,032-823-3485,gca@hanmail.net,광주광역시 서구 치평동 14-7,gbag,2024-04-04,이탈가능,준중형 세단,G70 (IK),2023-08-28,"51,540,000",계좌이체,2,오프라인
254,장건우,1981-05-10,남,070-8106-6622,seungminno@nate.com,대전광역시 유성구 봉명동 44-2,jiweoni,2025-01-09,vip,중형 suv,NEXO (FE),2023-05-09,"40,970,000",계좌이체,4,오프라인
255,김지은,1972-03-12,여,055-340-2117,sumin11@gimi.com,충청북도 청주시 상당구 낙실동 9-1,sanghunhwang,2022-10-30,신규,준중형 세단,G80 (RG3),2023-07-30,"41,620,000",신용카드,3,온라인
256,서춘자,1969-05-19,여,018-896-9405,fgim@dreamwiz.com,서울특별시 종로구 청운동 67-89,obag,2022-09-13,일반,대형 suv,G70 (IK),2023-04-23,"33,470,000",신용카드,1,온라인
257,윤병철,1966-05-04,여,042-205-5394,wyu@gmail.com,경기도 성남시 분당구 정자동 56-78,yeongceol55,2025-02-03,vip,중형 suv,G80 (RG3),2024-06-24,"48,350,000",계좌이체,1,온라인
258,서서현,1983-10-08,여,019-905-9908,gimjihye@yu.kr,서울특별시 강남구 역삼동 123-45,nhwang,2025-03-11,vip,중형 suv,Santa-Fe ™,2025-02-26,"38,960,000",현금,5,온라인
259,오옥자,2002-07-29,여,032-529-6473,hanyeweon@daum.net,전라남도 목포시 부주동 77-8,hyeonjun11,2025-01-20,vip,대형 suv,Avante (CN7 N),2023-06-22,"62,910,000",계좌이체,1,온라인
260,박건우,1990-12-09,남,062-698-5201,kgim@yu.org,전라남도 목포시 부주동 77-8,mgang,2023-02-16,vip,소형 해치백,Santa-Fe ™,2024-07-16,"82,580,000",현금,5,오프라인
261,허경수,1983-03-05,여,063-010-5636,hayungo@yuhanhoesa.com,경기도 성남시 분당구 정자동 56-78,gimsanghyeon,2023-04-02,이탈가능,준중형 세단,G80 (RG3),2023-08-08,"72,970,000",현금,1,온라인
262,박도윤,1966-01-12,여,031-878-5882,sujin49@yunigim.com,경기도 성남시 분당구 정자동 56-78,jeongsugang,2022-07-12,이탈가능,준중형 세단,Avante (CN7 N),2024-10-18,"45,780,000",신용카드,5,온라인
263,윤현지,1960-07-13,남,010-1347-0188,yeongja88@nate.com,서울특별시 종로구 청운동 67-89,xson,2023-05-04,일반,소형 해치백,NEXO (FE),2024-11-13,"42,150,000",신용카드,5,온라인
264,오승현,1984-11-30,여,017-025-3428,seoyeong20@nate.com,경기도 수원시 영통구 원천동 12-34,hyeonugang,2023-01-29,이탈가능,준중형 세단,G80 (RG3),2025-01-18,"47,850,000",현금,2,오프라인
265,권재호,1954-04-06,남,032-825-6328,sunja41@jusighoesa.com,전라남도 목포시 부주동 77-8,jeongyeji,2025-02-11,vip,픽업트럭,NEXO (FE),2024-12-23,"80,220,000",신용카드,3,오프라인
266,류경숙,1956-01-22,여,044-331-3217,ominjae@daum.net,경상남도 창원시 의창구 봉곡동 48-6,seoyun45,2023-07-28,신규,준대형 세단,G70 (IK),2024-09-09,"39,500,000",현금,3,온라인
267,노상훈,1958-03-21,남,043-859-3755,seoyuncoe@ju.com,부산광역시 해운대구 우동 101-12,xgim,2023-03-03,신규,소형 해치백,Avante (CN7 N),2024-03-15,"32,560,000",계좌이체,5,오프라인
268,양지훈,2003-11-14,남,051-075-1587,jeongeunjeong@yu.com,경기도 수원시 영통구 원천동 12-34,mbag,2024-08-31,vip,중형 suv,G70 (IK),2024-04-10,"73,440,000",신용카드,5,오프라인
269,박지민,1975-10-13,남,054-964-0514,xi@gmail.com,전라북도 전주시 완산구 덕진동 33-7,jihun46,2022-06-28,일반,대형 suv,G80 (RG3),2024-11-09,"37,590,000",신용카드,5,온라인
270,박정훈,1985-07-18,여,016-296-2255,ujin05@ju.com,광주광역시 서구 치평동 14-7,gangyeongsig,2022-04-28,신규,중형 suv,NEXO (FE),2024-07-02,"88,110,000",계좌이체,5,온라인
271,최영일,1977-05-21,여,064-720-8444,jihye76@daum.net,충청남도 천안시 동남구 성성동 22-3,bagjeonghun,2024-10-03,vip,소형 해치백,Avante (CN7 N),2024-01-22,"35,270,000",현금,3,오프라인
272,곽도윤,1955-03-14,여,062-521-4695,bagseojun@dreamwiz.com,경상북도 포항시 남구 대도동 19-2,ygo,2023-07-29,이탈가능,대형 suv,G80 (RG3),2023-04-18,"58,550,000",계좌이체,2,온라인
273,양은주,1999-02-28,남,053-833-2005,cyun@hanmail.net,서울특별시 강남구 역삼동 123-45,rjang,2022-03-18,일반,준대형 세단,G80 (RG3),2023-07-19,"30,240,000",계좌이체,1,온라인
274,김영식,1982-07-15,남,042-839-6549,dgim@bagbaggim.kr,광주광역시 서구 치평동 14-7,ihyeonji,2023-10-08,일반,소형 해치백,Santa-Fe ™,2024-01-07,"63,000,000",현금,2,온라인
275,장지현,1969-12-24,여,044-634-4611,donghyeon73@nate.com,경기도 성남시 분당구 정자동 56-78,byeongceoljang,2023-07-14,vip,픽업트럭,Santa-Fe ™,2024-10-25,"39,900,000",현금,3,온라인
276,김영숙,1962-01-28,여,041-558-6978,eungyeonghan@yuhanhoesa.com,서울특별시 종로구 청운동 67-89,jgim,2023-06-05,vip,준대형 세단,G70 (IK),2023-12-14,"74,130,000",현금,2,오프라인
277,홍영철,1964-12-10,여,017-267-0446,bagjihu@gimcoe.com,서울특별시 강남구 역삼동 123-45,gimseohyeon,2024-02-18,신규,중형 suv,G80 (RG3),2024-06-03,"49,970,000",현금,5,온라인
278,박상철,1997-01-18,여,055-438-8408,kji@naver.com,충청북도 청주시 상당구 낙실동 9-1,iyeongho,2024-05-26,이탈가능,대형 suv,G70 (IK),2024-01-19,"36,350,000",신용카드,3,온라인
279,이영희,1999-12-03,여,017-626-0398,obag@daum.net,인천광역시 남동구 구월동 88-10,minjaesin,2022-07-10,이탈가능,중형 suv,Santa-Fe ™,2023-12-27,"75,750,000",현금,3,오프라인
280,박영일,1990-06-02,여,018-747-7038,ogim@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,sunja59,2023-05-08,일반,소형 해치백,G70 (IK),2024-04-12,"71,030,000",계좌이체,2,오프라인
281,최유진,1975-01-29,남,010-8612-4722,jeongnami@dreamwiz.com,광주광역시 서구 치평동 14-7,nson,2024-08-29,이탈가능,대형 suv,G80 (RG3),2023-06-04,"36,960,000",신용카드,4,온라인
282,김지민,1961-02-06,여,011-053-0263,cson@ju.net,충청북도 청주시 상당구 낙실동 9-1,songseongjin,2025-01-11,vip,준대형 세단,G70 (IK),2023-03-13,"56,890,000",계좌이체,5,오프라인
283,한옥순,1958-06-16,남,070-2258-4070,fbag@gmail.com,경상북도 포항시 남구 대도동 19-2,seoyun92,2022-03-31,신규,픽업트럭,Santa-Fe ™,2023-10-27,"71,090,000",계좌이체,4,온라인
284,최옥순,1978-10-17,여,070-4742-4824,jeongungu@ju.com,대전광역시 유성구 봉명동 44-2,baeggyeongja,2023-08-13,vip,준중형 세단,Santa-Fe ™,2024-05-17,"60,370,000",신용카드,2,온라인
285,이예진,1973-06-05,남,031-240-3953,seojun19@daum.net,서울특별시 종로구 청운동 67-89,mjo,2022-07-13,이탈가능,중형 suv,NEXO (FE),2023-12-31,"35,430,000",계좌이체,4,온라인
286,노예은,1981-06-21,남,019-021-0653,jieunbag@gmail.com,광주광역시 서구 치평동 14-7,kgim,2023-06-20,이탈가능,중형 suv,G80 (RG3),2024-01-31,"40,290,000",계좌이체,1,오프라인
287,최영길,1984-05-27,남,053-283-1629,jaeho60@ju.com,대구광역시 수성구 범어동 55-3,yeongsigi,2022-05-11,일반,대형 suv,Santa-Fe ™,2024-06-05,"77,340,000",현금,4,온라인
288,신시우,1958-07-11,여,042-207-6955,gyeonghyi78@gmail.com,전라북도 전주시 완산구 덕진동 33-7,jihungim,2023-03-06,신규,준중형 세단,G80 (RG3),2024-12-20,"86,770,000",신용카드,2,온라인
289,최춘자,1976-06-27,여,031-170-7739,hancunja@yu.kr,충청남도 천안시 동남구 성성동 22-3,jinho50,2024-08-26,신규,준대형 세단,Avante (CN7 N),2023-08-24,"69,510,000",현금,3,오프라인
290,차서준,1968-01-22,여,064-741-3740,qgim@simryujo.com,경상남도 창원시 의창구 봉곡동 48-6,jihun41,2023-01-02,vip,준대형 세단,NEXO (FE),2024-01-12,"39,890,000",계좌이체,2,온라인
291,안정희,1984-01-10,남,051-406-1803,donghyeonbae@joyunson.com,대구광역시 수성구 범어동 55-3,yeongil47,2023-04-08,신규,소형 해치백,G80 (RG3),2024-01-30,"44,530,000",현금,2,온라인
292,최민수,1960-06-24,여,041-028-3477,ihyejin@jusighoesa.kr,전라남도 목포시 부주동 77-8,gyeongsugson,2022-11-08,vip,대형 suv,G80 (RG3),2024-06-28,"43,950,000",현금,5,오프라인
